"Origin","Max Dev"
"ABE",222
"ABI",245
"ABQ",419
"ABY",106
"ACK",204
"ACT",214
"ACV",386
"ACY",142
"ADK",26
"ADQ",48
"AEX",210
"AGS",242
"AKN",51
"ALB",275
"ALO",59
"AMA",317
"ANC",196
"APF",64
"ASE",181
"ATL",495
"ATW",240
"AUS",375
"AVL",424
"AVP",167
"AZO",235
"BDL",1419
"BET",41
"BFF",-38
"BFL",327
"BGM",130
"BGR",290
"BHM",296
"BIL",335
"BIS",132
"BJI",86
"BLI",51
"BMI",225
"BNA",496
"BOI",270
"BOS",1462
"BPT",143
"BQK",156
"BQN",111
"BRO",288
"BRW",65
"BTM",107
"BTR",433
"BTV",1465
"BUF",1478
"BUR",1451
"BWI",317
"BZN",202
"CAE",564
"CAK",221
"CDC",147
"CDV",65
"CEC",110
"CHA",242
"CHO",673
"CHS",225
"CIC",139
"CID",221
"CKB",7
"CLD",73
"CLE",294
"CLL",300
"CLT",1457
"CMH",305
"CMI",195
"CMX",65
"COD",174
"COS",527
"CPR",180
"CRP",232
"CRW",239
"CSG",87
"CVG",1443
"CWA",146
"CYS",15
"DAB",245
"DAL",243
"DAY",322
"DBQ",291
"DCA",352
"DEN",1481
"DFW",890
"DHN",161
"DLG",26
"DLH",184
"DRO",97
"DSM",241
"DTW",409
"DUT",33
"EAU",26
"EFD",154
"EGE",309
"EKO",87
"ELM",126
"ELP",206
"ERI",181
"EUG",157
"EVV",211
"EWN",134
"EWR",1478
"EYW",110
"FAI",90
"FAR",211
"FAT",345
"FAY",139
"FCA",143
"FLG",180
"FLL",1602
"FLO",112
"FMN",-20
"FNT",218
"FSD",174
"FSM",190
"FWA",189
"GCC",105
"GEG",178
"GFK",120
"GGG",182
"GJT",381
"GLH",17
"GNV",94
"GPT",292
"GRB",196
"GRK",185
"GRR",284
"GSO",300
"GSP",249
"GST",51
"GTF",146
"GTR",102
"GUC",134
"HDN",135
"HHH",89
"HKY",110
"HLN",115
"HNL",977
"HOU",417
"HPN",272
"HRL",195
"HSV",328
"HTS",146
"HVN",137
"IAD",1432
"IAH",1425
"ICT",234
"IDA",255
"ILE",137
"ILG",114
"ILM",598
"IND",300
"INL",92
"IPL",117
"ISO",116
"ISP",241
"ITH",73
"ITO",167
"IYK",130
"JAC",203
"JAN",370
"JAX",342
"JFK",1585
"JNU",114
"KOA",281
"KTN",101
"LAN",215
"LAS",1450
"LAW",135
"LAX",1428
"LBB",256
"LCH",324
"LEX",265
"LFT",439
"LGA",1445
"LGB",1465
"LIH",1010
"LIT",471
"LMT",54
"LNK",229
"LNY",15
"LRD",247
"LSE",148
"LWB",70
"LWS",85
"LYH",105
"MAF",237
"MAZ",16
"MBS",166
"MCI",395
"MCN",95
"MCO",1554
"MDT",355
"MDW",972
"MEI",171
"MEM",295
"MFE",251
"MFR",150
"MGM",188
"MHT",258
"MIA",790
"MIB",10
"MKC",17
"MKE",234
"MKG",42
"MKK",7
"MLB",257
"MLI",243
"MLU",254
"MOB",278
"MOD",520
"MOT",278
"MQT",132
"MRY",127
"MSN",238
"MSO",237
"MSP",956
"MSY",311
"MTH",79
"MTJ",92
"MYR",219
"OAJ",104
"OAK",421
"OGD",45
"OGG",1108
"OKC",275
"OMA",253
"OME",89
"ONT",1471
"ORD",378
"ORF",657
"ORH",60
"OTH",73
"OTZ",85
"OXR",85
"PBI",1441
"PDX",1476
"PFN",121
"PHF",174
"PHL",502
"PHX",1503
"PIA",268
"PIE",379
"PIH",106
"PIR",19
"PIT",416
"PLN",67
"PMD",92
"PNS",213
"PSC",131
"PSE",67
"PSG",78
"PSP",152
"PUB",69
"PVD",287
"PVU",0
"PWM",313
"RAP",176
"RDD",89
"RDM",201
"RDU",350
"RFD",72
"RHI",73
"RIC",299
"RKS",188
"RNO",645
"ROA",180
"ROC",1471
"ROW",108
"RST",252
"RSW",1478
"SAN",457
"SAT",443
"SAV",367
"SBA",168
"SBN",218
"SBP",137
"SCC",51
"SCE",215
"SDF",247
"SEA",1455
"SFO",890
"SGF",208
"SGU",201
"SHV",259
"SIT",105
"SJC",1465
"SJT",179
"SJU",1439
"SLC",1435
"SLE",36
"SMF",1462
"SMX",98
"SNA",380
"SOP",63
"SPI",204
"SPS",115
"SRQ",254
"STL",316
"STT",392
"STX",129
"SUN",279
"SUX",184
"SWF",215
"SYR",376
"TEX",106
"TLH",220
"TOL",199
"TPA",1442
"TRI",179
"TTN",139
"TUL",354
"TUP",168
"TUS",291
"TVC",227
"TWF",254
"TXK",103
"TYR",130
"TYS",228
"VCT",67
"VIS",43
"VLD",129
"VPS",512
"WRG",65
"WYS",72
"XNA",245
"YAK",63
"YKM",62
"YUM",141
