"Origin","Max/Min Dev"
"ABE",222
"ABE",-82
"ABI",245
"ABI",-62
"ABQ",419
"ABQ",-77
"ABY",106
"ABY",-27
"ACK",204
"ACK",-47
"ACT",214
"ACT",-710
"ACV",386
"ACV",-407
"ACY",142
"ACY",-52
"ADK",26
"ADK",-42
"ADQ",48
"ADQ",-16
"AEX",210
"AEX",-37
"AGS",242
"AGS",-41
"AKN",51
"AKN",-27
"ALB",275
"ALB",-68
"ALO",59
"ALO",-21
"AMA",317
"AMA",-30
"ANC",196
"ANC",-85
"APF",64
"APF",-39
"ASE",181
"ASE",-44
"ATL",495
"ATL",-120
"ATW",240
"ATW",-63
"AUS",375
"AUS",-200
"AVL",424
"AVL",-67
"AVP",167
"AVP",-58
"AZO",235
"AZO",-42
"BDL",1419
"BDL",-77
"BET",41
"BET",-23
"BFF",-38
"BFF",-38
"BFL",327
"BFL",-57
"BGM",130
"BGM",-62
"BGR",290
"BGR",-55
"BHM",296
"BHM",-97
"BIL",335
"BIL",-53
"BIS",132
"BIS",-52
"BJI",86
"BJI",-20
"BLI",51
"BLI",-31
"BMI",225
"BMI",-34
"BNA",496
"BNA",-78
"BOI",270
"BOI",-245
"BOS",1462
"BOS",-209
"BPT",143
"BPT",-49
"BQK",156
"BQK",-28
"BQN",111
"BQN",-85
"BRO",288
"BRO",-30
"BRW",65
"BRW",-25
"BTM",107
"BTM",-40
"BTR",433
"BTR",-44
"BTV",1465
"BTV",-80
"BUF",1478
"BUF",-65
"BUR",1451
"BUR",-74
"BWI",317
"BWI",-104
"BZN",202
"BZN",-55
"CAE",564
"CAE",-87
"CAK",221
"CAK",-66
"CDC",147
"CDC",-175
"CDV",65
"CDV",-20
"CEC",110
"CEC",-65
"CHA",242
"CHA",-75
"CHO",673
"CHO",-47
"CHS",225
"CHS",-105
"CIC",139
"CIC",-30
"CID",221
"CID",-72
"CKB",7
"CKB",-25
"CLD",73
"CLD",-35
"CLE",294
"CLE",-87
"CLL",300
"CLL",-47
"CLT",1457
"CLT",-72
"CMH",305
"CMH",-91
"CMI",195
"CMI",-34
"CMX",65
"CMX",-23
"COD",174
"COD",-37
"COS",527
"COS",-240
"CPR",180
"CPR",-59
"CRP",232
"CRP",-38
"CRW",239
"CRW",-44
"CSG",87
"CSG",-32
"CVG",1443
"CVG",-78
"CWA",146
"CWA",-33
"CYS",15
"CYS",-61
"DAB",245
"DAB",-41
"DAL",243
"DAL",-39
"DAY",322
"DAY",-47
"DBQ",291
"DBQ",-28
"DCA",352
"DCA",-251
"DEN",1481
"DEN",-254
"DFW",890
"DFW",-1256
"DHN",161
"DHN",-35
"DLG",26
"DLG",-21
"DLH",184
"DLH",-35
"DRO",97
"DRO",-63
"DSM",241
"DSM",-48
"DTW",409
"DTW",-77
"DUT",33
"DUT",-25
"EAU",26
"EAU",-18
"EFD",154
"EFD",-18
"EGE",309
"EGE",-59
"EKO",87
"EKO",-748
"ELM",126
"ELM",-28
"ELP",206
"ELP",-116
"ERI",181
"ERI",-38
"EUG",157
"EUG",-77
"EVV",211
"EVV",-37
"EWN",134
"EWN",-24
"EWR",1478
"EWR",-101
"EYW",110
"EYW",-67
"FAI",90
"FAI",-60
"FAR",211
"FAR",-103
"FAT",345
"FAT",-153
"FAY",139
"FAY",-42
"FCA",143
"FCA",-86
"FLG",180
"FLG",-28
"FLL",1602
"FLL",-93
"FLO",112
"FLO",-27
"FMN",-20
"FMN",-52
"FNT",218
"FNT",-46
