"Airport/Carrier","Max/Min Devs"
"9-ABE",176
"9-ABE",-26
"9-ALB",74
"9-ALB",-37
"9-ALO",56
"9-ALO",-21
"9-ATL",89
"9-ATL",-21
"9-ATW",67
"9-ATW",-32
"9-AUS",69
"9-AUS",-32
"9-AVL",67
"9-AVL",-33
"9-AVP",69
"9-AVP",-24
"9-AZO",76
"9-AZO",-33
"9-BDL",113
"9-BDL",-30
"9-BGM",130
"9-BGM",-31
"9-BGR",178
"9-BGR",-36
"9-BHM",77
"9-BHM",-29
"9-BIL",108
"9-BIL",-16
"9-BIS",116
"9-BIS",-20
"9-BJI",70
"9-BJI",-20
"9-BNA",110
"9-BNA",-33
"9-BOS",146
"9-BOS",-40
"9-BTR",47
"9-BTR",-20
"9-BTV",93
"9-BTV",-46
"9-BUF",38
"9-BUF",-11
"9-BWI",141
"9-BWI",-26
"9-BZN",52
"9-BZN",-9
"9-CAE",75
"9-CAE",-35
"9-CAK",76
"9-CAK",-33
"9-CHA",52
"9-CHA",-22
"9-CHS",90
"9-CHS",-32
"9-CID",147
"9-CID",-40
"9-CLE",109
"9-CLE",-28
"9-CLT",99
"9-CLT",-29
"9-CMH",127
"9-CMH",-27
"9-CMX",65
"9-CMX",-23
"9-COS",54
"9-COS",-20
"9-CPR",67
"9-CPR",-30
"9-CRW",10
"9-CRW",-33
"9-CVG",107
"9-CVG",-33
"9-CWA",51
"9-CWA",-33
"9-DAY",114
"9-DAY",-36
"9-DCA",224
"9-DCA",-39
"9-DEN",80
"9-DEN",-27
"9-DFW",75
"9-DFW",-32
"9-DLH",55
"9-DLH",-35
"9-DSM",129
"9-DSM",-39
"9-DTW",169
"9-DTW",-45
"9-EAU",26
"9-EAU",-18
"9-ELM",91
"9-ELM",-28
"9-ERI",65
"9-ERI",-24
"9-EVV",106
"9-EVV",-27
"9-FAR",95
"9-FAR",-22
"9-FCA",85
"9-FCA",-34
"9-FLL",110
"9-FLL",-31
"9-FNT",79
"9-FNT",-29
"9-FSD",73
"9-FSD",-20
"9-FSM",49
"9-FSM",-19
"9-FWA",102
"9-FWA",-25
"9-GFK",67
"9-GFK",-23
"9-GPT",106
"9-GPT",-17
"9-GRB",83
"9-GRB",-27
"9-GRR",212
"9-GRR",-42
"9-GSO",108
"9-GSO",-46
"9-GSP",109
"9-GSP",-33
"9-GTF",56
"9-GTF",-34
"9-HLN",56
"9-HLN",-36
"9-HOU",71
"9-HOU",-22
"9-HPN",229
"9-HPN",-43
"9-HSV",105
"9-HSV",-26
"9-IAD",130
"9-IAD",-34
"9-IAH",107
"9-IAH",-34
"9-ICT",88
"9-ICT",-29
"9-IDA",49
"9-IDA",-45
"9-IND",138
"9-IND",-46
"9-INL",37
"9-INL",-21
"9-ITH",73
"9-ITH",-9
"9-JAN",62
"9-JAN",-30
"9-JAX",84
"9-JAX",-27
"9-LAN",78
"9-LAN",-29
"9-LEX",134
"9-LEX",-24
"9-LGA",254
"9-LGA",-47
"9-LIT",73
"9-LIT",-35
"9-LNK",92
"9-LNK",-26
"9-LSE",96
"9-LSE",-16
"9-MBS",60
"9-MBS",-21
"9-MCI",111
"9-MCI",-33
"9-MDT",76
"9-MDT",-30
"9-MDW",81
"9-MDW",-24
"9-MEM",134
"9-MEM",-70
"9-MGM",64
"9-MGM",-21
"9-MHT",52
"9-MHT",-37
"9-MKE",16
"9-MKE",-22
"9-MLI",155
"9-MLI",-31
"9-MOB",91
"9-MOB",-18
"9-MSN",115
"9-MSN",-39
"9-MSP",194
"9-MSP",-43
"9-MYR",45
"9-MYR",-39
"9-OKC",88
"9-OKC",-34
"9-OMA",82
"9-OMA",-29
"9-ORF",111
"9-ORF",-43
"9-PFN",94
"9-PFN",-21
"9-PHL",185
"9-PHL",-48
"9-PIA",77
"9-PIA",-39
"9-PIR",19
"9-PIR",-10
"9-PIT",128
"9-PIT",-37
"9-PLN",67
"9-PLN",-21
"9-PNS",85
"9-PNS",-21
"9-PWM",88
"9-PWM",-36
"9-RAP",44
"9-RAP",-25
"9-RDU",69
"9-RDU",-26
"9-RHI",73
"9-RHI",-21
"9-RIC",94
"9-RIC",-35
"9-ROA",45
"9-ROA",-26
"9-ROC",75
"9-ROC",-40
"9-RST",66
"9-RST",-28
"9-RSW",45
"9-RSW",-32
"9-SAT",31
"9-SAT",-23
"9-SAV",68
"9-SAV",-33
"9-SBN",130
"9-SBN",-27
"9-SCE",84
"9-SCE",-22
"9-SDF",94
"9-SDF",-27
"9-SGF",101
"9-SGF",-30
"9-SHV",64
"9-SHV",-32
"9-SLC",43
"9-SLC",-44
"9-SRQ",8
"9-SRQ",-12
"9-STL",206
"9-STL",-28
"9-STX",43
"9-STX",-17
"9-SUX",184
"9-SUX",-22
"9-SWF",86
"9-SWF",-31
"9-SYR",19
"9-SYR",-23
"9-TLH",121
"9-TLH",-24
"9-TUL",166
"9-TUL",-38
"9-TVC",106
"9-TVC",-34
"9-TYS",163
"9-TYS",-37
"9-XNA",111
"9-XNA",-31
"9E-ABE",222
"9E-ABE",-24
"9E-ALB",36
"9E-ALB",-33
"9E-ALO",59
"9E-ALO",-17
"9E-ATL",276
"9E-ATL",-40
"9E-ATW",155
"9E-ATW",-26
"9E-AUS",81
"9E-AUS",-33
"9E-AVL",133
"9E-AVL",-33
"9E-AVP",83
"9E-AVP",-33
"9E-AZO",120
"9E-AZO",-28
"9E-BDL",52
"9E-BDL",-37
"9E-BGM",116
"9E-BGM",-24
"9E-BGR",112
"9E-BGR",-39
"9E-BHM",124
"9E-BHM",-32
"9E-BIL",39
"9E-BIL",-16
"9E-BIS",77
"9E-BIS",-21
"9E-BJI",86
"9E-BJI",-20
"9E-BNA",133
"9E-BNA",-27
"9E-BOS",100
"9E-BOS",-40
"9E-BTR",54
"9E-BTR",-21
"9E-BTV",152
"9E-BTV",-31
"9E-BUF",118
"9E-BUF",-23
"9E-BWI",115
"9E-BWI",-31
"9E-BZN",55
"9E-BZN",-35
"9E-CAE",85
"9E-CAE",-36
"9E-CAK",94
"9E-CAK",-34
"9E-CHA",45
"9E-CHA",-21
"9E-CHS",88
"9E-CHS",-26
"9E-CID",74
"9E-CID",-38
"9E-CLE",114
"9E-CLE",-33
"9E-CLT",274
"9E-CLT",-26
"9E-CMH",146
"9E-CMH",-28
"9E-CMX",41
"9E-CMX",-15
"9E-CPR",30
"9E-CPR",-34
"9E-CRW",93
"9E-CRW",-36
"9E-CVG",160
"9E-CVG",-34
"9E-CWA",95
"9E-CWA",-29
"9E-DAY",134
"9E-DAY",-36
"9E-DCA",85
"9E-DCA",-35
"9E-DEN",70
"9E-DEN",-29
"9E-DFW",77
"9E-DFW",-32
"9E-DLH",106
"9E-DLH",-33
"9E-DSM",133
"9E-DSM",-32
"9E-DTW",153
"9E-DTW",-41
"9E-ELM",126
"9E-ELM",-28
"9E-ERI",123
"9E-ERI",-26
"9E-EVV",115
"9E-EVV",-30
"9E-EWR",60
"9E-EWR",-26
"9E-FAR",143
"9E-FAR",-20
"9E-FCA",103
"9E-FCA",-32
"9E-FLL",48
"9E-FLL",-31
"9E-FNT",73
"9E-FNT",-30
"9E-FSD",75
"9E-FSD",-22
"9E-FSM",109
"9E-FSM",-28
"9E-FWA",113
"9E-FWA",-31
"9E-GFK",58
"9E-GFK",-24
"9E-GLH",17
"9E-GLH",2
"9E-GPT",78
"9E-GPT",-20
"9E-GRB",45
"9E-GRB",-23
"9E-GRR",129
"9E-GRR",-30
"9E-GSO",148
"9E-GSO",-32
"9E-GSP",90
"9E-GSP",-29
"9E-GTF",84
"9E-GTF",-37
"9E-HLN",62
"9E-HLN",-41
"9E-HOU",118
"9E-HOU",-27
"9E-HPN",204
"9E-HPN",-30
"9E-HSV",115
"9E-HSV",-23
"9E-IAD",111
"9E-IAD",-37
"9E-IAH",252
"9E-IAH",-35
"9E-ICT",124
"9E-ICT",-35
"9E-IDA",57
"9E-IDA",-41
"9E-IND",101
"9E-IND",-43
"9E-INL",92
"9E-INL",-16
"9E-ITH",72
"9E-ITH",-10
"9E-JAN",114
"9E-JAN",-33
"9E-JAX",182
"9E-JAX",-22
"9E-LAN",44
"9E-LAN",-22
"9E-LEX",135
"9E-LEX",-29
"9E-LGA",126
"9E-LGA",-52
"9E-LIT",97
"9E-LIT",-37
"9E-LNK",93
"9E-LNK",-24
"9E-LSE",108
"9E-LSE",-17
"9E-MBS",105
"9E-MBS",-25
"9E-MCI",171
"9E-MCI",-30
"9E-MCO",-12
"9E-MCO",-12
"9E-MDT",93
"9E-MDT",-34
"9E-MDW",38
"9E-MDW",-12
"9E-MEM",207
"9E-MEM",-40
"9E-MGM",74
"9E-MGM",-25
"9E-MHT",30
"9E-MHT",-6
"9E-MIA",-1
"9E-MIA",-23
"9E-MKE",118
"9E-MKE",-21
"9E-MLI",172
"9E-MLI",-33
"9E-MOB",129
"9E-MOB",-20
"9E-MSN",88
"9E-MSN",-25
"9E-MSO",-8
"9E-MSO",-21
"9E-MSP",159
"9E-MSP",-41
"9E-MSY",40
"9E-MSY",-27
"9E-MYR",23
"9E-MYR",-37
"9E-OKC",135
"9E-OKC",-34
"9E-OMA",102
"9E-OMA",-31
"9E-ORD",51
"9E-ORD",-21
"9E-ORF",44
"9E-ORF",-31
"9E-PFN",58
"9E-PFN",-21
"9E-PHL",114
"9E-PHL",-45
"9E-PIA",53
"9E-PIA",-34
"9E-PIR",-3
"9E-PIR",-27
"9E-PIT",184
"9E-PIT",-142
"9E-PLN",48
"9E-PLN",-26
"9E-PNS",56
"9E-PNS",-17
"9E-PWM",105
"9E-PWM",-37
"9E-RAP",42
"9E-RAP",-24
"9E-RDU",66
"9E-RDU",-29
"9E-RHI",72
"9E-RHI",-23
"9E-RIC",153
"9E-RIC",-26
"9E-ROA",120
"9E-ROA",-25
"9E-ROC",113
"9E-ROC",-28
"9E-RST",117
"9E-RST",-20
"9E-RSW",49
"9E-RSW",-25
"9E-SAT",60
"9E-SAT",-37
"9E-SAV",57
"9E-SAV",-37
"9E-SBN",118
"9E-SBN",-28
"9E-SCE",68
"9E-SCE",-25
"9E-SDF",56
"9E-SDF",-30
"9E-SGF",103
"9E-SGF",-33
"9E-SHV",55
"9E-SHV",-33
"9E-SLC",10
"9E-SLC",-24
"9E-SRQ",24
"9E-SRQ",-12
