"Origin","Cancelled"
"ABE",7
"ABI",3
"ABQ",13
"ABY",3
"ACK",1
"ACT",2
"ACV",4
"ACY",1
"ADK",0
"ADQ",4
"AEX",2
"AGS",5
"AKN",0
"ALB",9
"AMA",2
"ANC",6
"APF",0
"ATL",219
"ATW",2
"AUS",19
"AVL",2
"AVP",1
"AZO",8
"BDL",13
"BET",5
"BFL",2
"BGM",0
"BGR",4
"BHM",11
"BIL",2
"BIS",1
"BMI",2
"BNA",19
"BOI",3
"BOS",116
"BPT",1
"BQK",1
"BQN",0
"BRO",1
"BRW",1
"BTM",0
"BTR",3
"BTV",4
"BUF",16
"BUR",6
"BWI",31
"BZN",1
"CAE",15
"CAK",9
"CDC",3
"CDV",1
"CEC",3
"CHA",7
"CHO",1
"CHS",15
"CIC",0
"CID",8
"CLD",3
"CLE",31
"CLL",2
"CLT",44
"CMH",29
"CMI",2
"COD",1
"COS",3
"CPR",2
"CRP",4
"CRW",3
"CSG",1
"CVG",155
"DAB",5
"DAL",32
"DAY",12
"DBQ",1
"DCA",61
"DEN",32
"DFW",142
"DHN",3
"DLG",2
"DLH",1
"DRO",0
"DSM",9
"DTW",69
"DUT",1
"EFD",0
"EGE",1
"EKO",3
"ELP",8
"ERI",2
"EUG",3
"EVV",10
"EWR",114
"EYW",1
"FAI",7
"FAR",4
"FAT",9
"FAY",2
"FCA",1
"FLL",25
"FLO",1
"FNT",1
"FSD",4
"FSM",1
"FWA",9
"GEG",5
"GFK",1
"GGG",2
"GJT",2
"GNV",1
"GPT",4
"GRB",4
"GRK",0
"GRR",10
"GSO",26
"GSP",11
"GST",0
"GTF",2
"GTR",2
"GUC",0
"HDN",0
"HLN",5
"HNL",4
"HOU",38
"HPN",9
"HRL",1
"HSV",9
"HTS",2
"HVN",1
"IAD",80
"IAH",68
"ICT",5
"IDA",1
"ILE",1
"ILM",1
"IND",25
"IPL",0
"ISP",9
"ITO",0
"IYK",0
"JAC",1
"JAN",6
"JAX",18
"JFK",32
"JNU",5
"KOA",0
"KTN",2
"LAN",5
"LAS",54
"LAW",1
"LAX",86
"LBB",2
"LCH",1
"LEX",7
"LFT",2
"LGA",113
"LGB",2
"LIH",0
"LIT",5
"LNK",0
"LNY",0
"LRD",1
"LSE",2
"LWB",0
"LYH",1
"MAF",3
"MBS",4
"MCI",21
"MCN",3
"MCO",71
"MDT",12
"MDW",25
"MEI",0
"MEM",13
"MFE",2
"MFR",2
"MGM",2
"MHT",6
"MIA",30
"MKE",10
"MKK",0
"MLB",1
"MLI",2
"MLU",3
"MOB",1
"MOD",4
"MOT",0
"MQT",2
"MRY",7
"MSN",4
"MSO",4
"MSP",62
"MSY",26
"MTJ",1
"MYR",8
"OAK",22
"OGG",2
"OKC",14
"OMA",11
"OME",2
"ONT",9
"ORD",298
"ORF",12
"OTZ",1
"OXR",1
"PBI",9
"PDX",30
"PFN",3
"PHF",2
"PHL",71
"PHX",45
"PIA",7
"PIE",1
"PIH",1
"PIT",28
"PNS",9
"PSC",0
"PSG",1
"PSP",3
"PVD",10
"PWM",12
"RAP",1
"RDD",1
"RDM",1
"RDU",45
"RIC",10
"RNO",9
"ROA",8
"ROC",10
"RST",4
"RSW",11
"SAN",22
"SAT",12
"SAV",8
"SBA",5
"SBN",7
"SBP",1
"SCC",0
"SCE",3
"SDF",12
"SEA",32
"SFO",61
"SGF",2
"SGU",0
"SHV",8
"SIT",0
"SJC",20
"SJT",3
"SJU",12
"SLC",35
"SMF",11
"SMX",1
"SNA",22
"SPS",2
"SRQ",6
"STL",20
"STT",1
"STX",0
"SUN",3
"SWF",3
"SYR",8
"TLH",7
"TOL",4
"TPA",36
"TRI",4
"TUL",15
"TUS",4
"TVC",3
"TWF",2
"TXK",4
"TYR",1
"TYS",9
"VCT",3
"VIS",2
"VLD",1
"VPS",4
"WRG",0
"WYS",1
"XNA",14
"YAK",1
"YUM",0
