"Airport","Max Taxi In"
"ABE",13
"ABI",18
"ABQ",37
"ABY",13
"ACK",19
"ACT",13
"ACV",6
"ACY",5
"ADK",4
"ADQ",6
"AEX",9
"AGS",7
"AKN",5
"ALB",8
"AMA",13
"ANC",31
"APF",5
"ATL",1469
"ATW",20
"AUS",25
"AVL",1442
"AVP",6
"AZO",10
"BDL",25
"BET",4
"BFL",10
"BGM",63
"BGR",174
"BHM",1343
"BIL",19
"BIS",6
"BMI",13
"BNA",28
"BOI",13
"BOS",107
"BPT",10
"BQK",8
"BQN",6
"BRO",12
"BRW",5
"BTM",14
"BTR",40
"BTV",16
"BUF",36
"BUR",34
"BWI",1155
"BZN",8
"CAE",1448
"CAK",1383
"CDC",4
"CDV",4
"CEC",5
"CHA",1445
"CHO",15
"CHS",1444
"CIC",6
"CID",23
"CKB",1
"CLD",9
"CLE",58
"CLL",34
"CLT",600
"CMH",1383
"CMI",10
"COD",6
"COS",1018
"CPR",7
"CRP",9
"CRW",9
"CSG",6
"CVG",1442
"DAB",12
"DAL",20
"DAY",20
"DBQ",10
"DCA",1240
"DEN",1446
"DFW",1451
"DHN",1442
"DLG",4
"DLH",9
"DRO",7
"DSM",67
"DTW",81
"DUT",3
"EFD",7
"EGE",8
"EKO",6
"ELP",23
"ERI",7
"EUG",12
"EVV",12
"EWR",475
"EYW",9
"FAI",8
"FAR",13
"FAT",12
"FAY",1442
"FCA",15
"FLL",54
"FLO",8
"FNT",1425
"FSD",14
"FSM",16
"FWA",1445
"GEG",20
"GFK",7
"GGG",9
"GJT",6
"GNV",1444
"GPT",14
"GRB",12
"GRK",12
"GRR",1443
"GSO",1437
"GSP",1430
"GST",6
"GTF",8
"GTR",8
"GUC",4
"HDN",11
"HLN",1421
"HNL",174
"HOU",461
"HPN",63
"HRL",7
"HSV",1445
"HTS",8
"HVN",7
"IAD",1445
"IAH",1448
"ICT",1444
"IDA",5
"ILE",20
"ILM",1445
"IND",27
"IPL",4
"ISP",715
"ITO",17
"IYK",5
"JAC",7
"JAN",1446
"JAX",1447
"JFK",167
"JNU",9
"KOA",9
"KTN",8
"LAN",10
"LAS",64
"LAW",12
"LAX",169
"LBB",9
"LCH",7
"LEX",30
"LFT",8
"LGA",523
"LGB",49
"LIH",13
"LIT",1446
"LNK",175
"LNY",5
"LRD",7
"LSE",8
"LWB",8
"LYH",9
"MAF",18
"MBS",8
"MCI",34
"MCN",10
"MCO",278
"MDT",1374
"MDW",138
"MEI",1443
"MEM",35
"MFE",8
"MFR",15
"MGM",1442
"MHT",100
"MIA",588
"MKE",1445
"MKK",1436
"MLB",1445
"MLI",10
"MLU",8
"MOB",8
"MOD",6
"MOT",8
"MQT",8
"MRY",11
"MSN",27
"MSO",13
"MSP",1425
"MSY",1443
"MTJ",6
"MYR",1445
"OAK",39
"OGG",29
"OKC",20
"OMA",21
"OME",16
"ONT",1443
"ORD",798
"ORF",1455
"OTZ",5
"OXR",9
"PBI",1445
"PDX",24
"PFN",1443
"PHF",34
"PHL",695
"PHX",1450
"PIA",9
"PIE",11
"PIH",12
"PIT",64
"PNS",10
"PSC",8
"PSG",6
"PSP",11
"PVD",15
"PWM",886
"RAP",8
"RDD",6
"RDM",18
"RDU",87
"RIC",1416
"RNO",22
"ROA",96
"ROC",792
"RST",22
"RSW",25
"SAN",47
"SAT",1448
"SAV",1442
"SBA",12
"SBN",1445
"SBP",8
"SCC",4
"SCE",10
"SDF",16
"SEA",105
"SFO",1151
"SGF",9
"SGU",99
"SHV",1050
"SIT",8
"SJC",32
"SJT",9
"SJU",64
"SLC",1444
"SMF",37
"SMX",5
"SNA",1389
"SPS",13
"SRQ",670
"STL",1385
"STT",30
"STX",5
"SUN",8
"SWF",16
"SYR",540
"TLH",10
"TOL",760
"TPA",59
"TRI",749
"TUL",19
"TUS",20
"TVC",32
"TWF",8
"TXK",8
"TYR",14
"TYS",1445
"VCT",5
"VIS",4
"VLD",1442
"VPS",1445
"WRG",5
"WYS",4
"XNA",1444
"YAK",7
"YUM",5
